Darts, # nodes, # proc, pi, time, error
1000000000,2,64,3.14159,69.7764,1.19554e-06
1000000000,2,64,3.14159,99.0162,1.19554e-06
1000000000,2,64,3.14159,69.2057,1.19554e-06
1000000000,3,96,3.14159,70.0588,-4.64753e-06
1000000000,3,96,3.14159,68.7066,-4.64753e-06
1000000000,3,96,3.14159,48.6438,-4.64753e-06
1000000000,4,128,3.14159,38.0495,-3.04815e-06
1000000000,4,128,3.14159,36.7957,-3.04815e-06
1000000000,4,128,3.14159,51.6804,-3.04815e-06
1000000000,2,64,3.14159,99.0464,1.19554e-06
1000000000,2,64,3.14159,98.9336,1.19554e-06
1000000000,3,96,3.14159,41.4921,-4.64753e-06
1000000000,2,64,3.14159,69.5453,1.19554e-06
1000000000,3,96,3.14159,49.5684,-4.64753e-06
1000000000,5,160,3.14159,30.2408,-2.61893e-06
1000000000,3,96,3.14159,70.0505,-4.64753e-06
1000000000,5,160,3.14159,43.9142,-2.61893e-06
1000000000,5,160,3.14159,29.9326,-2.61893e-06
1000000000,5,160,3.14159,31.1687,-2.61893e-06
1000000000,5,160,3.14159,42.338,-2.61893e-06
1000000000,5,160,3.14159,43.914,-2.61893e-06
1000000000,1,32,3.14159,220.993,-6.93712e-06
1000000000,1,32,3.14159,209.995,-6.93712e-06
1000000000,1,32,3.14159,204.204,-6.93712e-06
