Darts, Rounds, # nodes, # proc, pi, time, error
1e+07,128,1,32,3.14159,63.2387,-7.43259e-06
1e+07,128,1,32,3.14159,75.638,-7.43259e-06
1e+07,128,1,32,3.14159,62.8122,-7.43259e-06
1e+07,128,3,96,3.14159,57.8666,-5.27615e-06
1e+07,128,3,96,3.14159,54.941,-5.27615e-06
1e+07,128,3,96,3.14159,53.6187,-5.27615e-06
1e+07,128,2,64,3.14159,53.7765,-2.93801e-06
1e+07,128,2,64,3.14159,64.3366,-2.93801e-06
1e+07,128,2,64,3.14159,54.8892,-2.93801e-06
1e+07,128,4,128,3.14159,53.6597,-5.03843e-06
1e+07,128,4,128,3.14159,63.4217,-5.03843e-06
1e+07,128,4,128,3.14159,54.9915,-5.03843e-06
1e+07,128,4,128,3.14159,55.2614,-5.03843e-06
1e+07,128,4,128,3.14159,57.6282,-5.03843e-06
1e+07,128,5,160,3.14159,57.9381,-4.54115e-06
1e+07,128,5,160,3.14159,57.1561,-4.54115e-06
1e+07,128,4,128,3.14159,63.7134,-5.03843e-06
1e+07,128,5,160,3.14159,55.7692,-4.54115e-06
1e+07,128,5,160,3.14159,57.6751,-4.54115e-06
1e+07,128,5,160,3.14159,57.5608,-4.54115e-06
1e+07,128,5,160,3.14159,58.9716,-4.54115e-06
